City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,75.63,overcast clouds,-23.12,-134.97,People ThankYou
13,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Annamalainagar,IN,84.7,few clouds,11.4,79.73,Hotel Akshaya
32,Busselton,AU,84.09,broken clouds,-33.65,115.33,Observatory Guest House
34,Tambun,ID,88.41,scattered clouds,-6.26,107.07,Metland Hotel Bekasi
35,Grand Gaube,MU,85.37,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
37,Butaritari,KI,82.98,light rain,3.07,172.79,Isles Sunset Lodge
38,Faanui,PF,81.41,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,Carnarvon,AU,82.47,clear sky,-24.87,113.63,Hospitality Carnarvon
45,Avarua,CK,78.85,overcast clouds,-21.21,-159.78,Paradise Inn
51,Kalmunai,LK,83.89,scattered clouds,7.42,81.82,VS Villa
54,Olinda,BR,80.33,scattered clouds,-8.01,-34.86,Pousada Sitio Do Carmo
58,Atuona,PF,78.62,clear sky,-9.8,-139.03,Villa Enata
69,Lambarene,GA,75.22,overcast clouds,-0.7,10.24,Le Refuge
78,Bambous Virieux,MU,85.21,few clouds,-20.34,57.76,Casa Tia Villa
83,Puerto Escondido,MX,76.89,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
85,Carutapera,BR,75.79,overcast clouds,-1.2,-46.02,Lidera
89,Sinnamary,GF,76.51,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
90,Sambava,MG,84.65,overcast clouds,-14.27,50.17,Melrose
96,Hervey Bay,AU,79.03,few clouds,-25.3,152.85,Shelly Bay Resort
102,Hithadhoo,MV,80.47,light rain,-0.6,73.08,Scoop Guest House
107,Catio,GW,76.21,overcast clouds,11.28,-15.25,Pausada Morabedja
111,Umarkot,PK,82.76,clear sky,25.36,69.74,Student Campus 2
115,Axim,GH,81.91,broken clouds,4.87,-2.24,Axim Beach Resort And Spa
128,Saint-Joseph,RE,85.1,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
129,Soyo,AO,80.04,overcast clouds,-6.13,12.37,Hotel Mpampa
132,Odweyne,SO,77.86,clear sky,9.41,45.06,Eng Hiirey House
135,Souillac,MU,85.35,few clouds,-20.52,57.52,Bils' Villa
138,Buala,SB,80.87,light rain,-8.14,159.59,Maringe Lagoon Lodge
141,Bac Lieu,VN,82.0,broken clouds,9.28,105.72,Khách sạn Sài Gòn Bạc Liêu
145,Itarema,BR,78.66,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
