City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.73,140.83,48.49,56,100,9.28,overcast clouds
1,Tsumeb,NA,-19.23,17.72,74.75,25,35,11.41,scattered clouds
2,Kodiak,US,57.79,-152.41,20.71,93,90,3.44,overcast clouds
3,Mataura,NZ,-46.19,168.86,50.49,98,100,2.15,light rain
4,Hilo,US,19.73,-155.09,70.25,93,90,4.61,overcast clouds
5,Tirano,IT,46.22,10.17,38.61,99,100,6.64,overcast clouds
6,Abrau-Dyurso,RU,44.69,37.59,45.86,90,100,7.18,overcast clouds
7,Rikitea,PF,-23.12,-134.97,75.63,78,97,9.15,overcast clouds
8,Albany,US,42.6,-73.97,35.55,79,88,5.91,overcast clouds
9,Naze,JP,28.37,129.48,61.72,68,100,15.05,overcast clouds
10,Vestmannaeyjar,IS,63.44,-20.27,42.91,72,100,40.29,overcast clouds
11,Yar-Sale,RU,66.83,70.83,-18.26,97,12,8.12,few clouds
12,San Cristobal,VE,7.77,-72.22,64.45,81,100,1.86,overcast clouds
13,Vaini,TO,-21.2,-175.2,78.96,83,40,8.05,scattered clouds
14,Chokurdakh,RU,70.63,147.92,-41.84,100,59,3.76,broken clouds
15,Annamalainagar,IN,11.4,79.73,84.7,69,19,7.34,few clouds
16,Kapaa,US,22.08,-159.32,64.72,81,40,1.01,scattered clouds
17,Punta Arenas,CL,-53.15,-70.92,46.51,66,20,25.32,few clouds
18,Sao Joao Da Barra,BR,-21.64,-41.05,70.05,87,2,3.8,clear sky
19,Bluff,NZ,-46.6,168.33,50.81,66,100,14.45,overcast clouds
20,Tasiilaq,GL,65.61,-37.64,30.36,90,100,59.3,snow
21,Longyearbyen,SJ,78.22,15.64,19.24,68,75,11.5,broken clouds
22,Lebu,CL,-37.62,-73.65,52.7,82,5,15.43,clear sky
23,Hofn,IS,64.25,-15.21,29.75,80,90,10.07,overcast clouds
24,Provideniya,RU,64.38,-173.3,29.01,97,100,44.43,snow
25,Sioux Lookout,CA,50.1,-91.92,8.98,92,75,8.05,broken clouds
26,Gazojak,TM,41.19,61.4,42.01,62,8,2.75,clear sky
27,Cape Town,ZA,-33.93,18.42,69.12,81,75,4.0,broken clouds
28,Nikolskoye,RU,59.7,30.79,7.02,91,83,6.76,broken clouds
29,Hobart,AU,-42.88,147.33,66.06,56,20,1.99,few clouds
30,Santiago,CL,-33.46,-70.65,70.86,34,0,3.44,clear sky
31,Ushuaia,AR,-54.8,-68.3,46.06,61,40,2.3,light rain
32,Busselton,AU,-33.65,115.33,84.09,40,72,21.09,broken clouds
33,Te Anau,NZ,-45.42,167.72,41.9,97,100,0.83,overcast clouds
34,Tambun,ID,-6.26,107.07,88.41,65,40,5.75,scattered clouds
35,Grand Gaube,MU,-20.01,57.66,85.37,59,2,10.0,clear sky
36,Barra Do Garcas,BR,-15.89,-52.26,70.97,97,64,3.2,broken clouds
37,Butaritari,KI,3.07,172.79,82.98,80,100,17.22,light rain
38,Faanui,PF,-16.48,-151.75,81.41,62,69,11.86,broken clouds
39,Fortuna,US,40.6,-124.16,50.41,94,90,1.99,overcast clouds
40,Baglung,NP,28.27,83.59,71.87,51,1,6.26,clear sky
41,Carnarvon,AU,-24.87,113.63,82.47,65,2,12.66,clear sky
42,Tuktoyaktuk,CA,69.45,-133.04,-19.8,87,10,6.85,clear sky
43,Clyde River,CA,70.47,-68.59,8.83,92,100,40.29,heavy snow
44,Coihaique,CL,-45.58,-72.07,53.55,71,0,6.91,clear sky
45,Avarua,CK,-21.21,-159.78,78.85,89,100,4.61,overcast clouds
46,Mar Del Plata,AR,-38.0,-57.56,61.09,88,90,5.99,overcast clouds
47,Port-Cartier,CA,50.03,-66.87,3.31,76,80,5.91,broken clouds
48,Castro,BR,-24.79,-50.01,58.57,94,93,5.57,overcast clouds
49,Airai,TL,-8.93,125.41,66.97,87,100,2.15,overcast clouds
50,Sao Fidelis,BR,-21.65,-41.75,66.61,97,3,0.31,clear sky
51,Kalmunai,LK,7.42,81.82,83.89,73,36,8.05,scattered clouds
52,Port Lincoln,AU,-34.73,135.87,63.03,66,100,12.19,overcast clouds
53,Ahipara,NZ,-35.17,173.17,66.61,91,11,10.04,few clouds
54,Olinda,BR,-8.01,-34.86,80.33,78,40,9.22,scattered clouds
55,Jinxiang,CN,27.43,120.61,60.24,70,91,11.16,overcast clouds
56,Srednekolymsk,RU,67.45,153.68,-47.18,100,65,3.29,broken clouds
57,Broome,US,42.25,-75.83,33.91,67,1,1.01,clear sky
58,Atuona,PF,-9.8,-139.03,78.62,72,6,17.02,clear sky
59,Port Alfred,ZA,-33.59,26.89,71.1,91,100,24.09,overcast clouds
60,Ribeira Grande,PT,38.52,-28.7,64.8,63,75,12.66,broken clouds
61,Kaitangata,NZ,-46.28,169.85,50.94,75,100,7.47,light rain
62,Borovskoy,KZ,53.8,64.15,30.74,79,97,15.93,overcast clouds
63,Chuy,UY,-33.7,-53.46,61.18,93,23,3.58,few clouds
64,Hamilton,US,39.18,-84.53,38.05,72,1,6.91,clear sky
65,Saint-Augustin,CA,51.23,-58.65,19.31,66,0,12.53,clear sky
66,Jamestown,US,42.1,-79.24,34.92,87,90,1.99,overcast clouds
67,East London,ZA,-33.02,27.91,68.94,100,90,13.8,light rain
68,Ekibastuz,KZ,51.67,75.37,31.73,88,90,4.41,overcast clouds
69,Lambarene,GA,-0.7,10.24,75.22,94,90,2.71,overcast clouds
70,Iqaluit,CA,63.75,-68.51,6.53,71,90,28.01,light snow
71,Lompoc,US,34.64,-120.46,54.79,88,90,0.0,mist
72,Nome,US,64.5,-165.41,17.67,86,90,27.63,snow
73,Qovlar,AZ,40.95,45.74,49.05,33,91,8.03,overcast clouds
74,Berdigestyakh,RU,62.1,126.7,0.28,98,100,1.41,light snow
75,Henties Bay,NA,-22.12,14.28,59.86,63,0,6.96,clear sky
76,Ardakan,IR,32.31,54.02,59.38,20,43,6.04,scattered clouds
77,Katsuura,JP,35.13,140.3,53.19,69,98,13.98,overcast clouds
78,Bambous Virieux,MU,-20.34,57.76,85.21,61,20,11.5,few clouds
79,Coreau,BR,-3.53,-40.66,74.86,87,89,2.01,overcast clouds
80,Lakes Entrance,AU,-37.88,147.98,71.58,66,59,19.66,broken clouds
81,Sal Rei,CV,16.18,-22.92,72.16,83,40,16.11,scattered clouds
82,Lagoa,PT,39.05,-27.98,62.91,76,59,13.24,broken clouds
83,Puerto Escondido,MX,15.85,-97.07,76.89,65,0,4.32,clear sky
84,Saldanha,ZA,-33.01,17.94,62.65,69,34,6.89,scattered clouds
85,Carutapera,BR,-1.2,-46.02,75.79,95,96,5.64,overcast clouds
86,New Norfolk,AU,-42.78,147.06,65.7,43,9,1.99,clear sky
87,Melong,CM,5.12,9.96,74.71,70,100,0.02,overcast clouds
88,La Ronge,CA,55.1,-105.28,-0.15,78,90,4.61,light snow
